game_id,game_name,game_slug,game_description,game_iframe_src,game_logo_filename,is_featured,is_new
1,Heroes Assemble,Heroes-Assemble,Enjoy an exciting mix of running and arcade action in Heroes Assemble. You will be transformed into a hero in a world full of challenges. Fight alongside other legendary heroes. Collect as much money as possible to buy heroes that do more damage. They are about to join you in battle. Collect powerful cards and use them to enhance your abilities.,https://html5.gamemonetize.co/tcpeqndu561ebr0s8o9hzu7k7r7a515l/,,1,0
2,Crazy Shooter of Math,Crazy-Shooter-of-Math,"Crazy scientist in crazy mode, math is his favorite subject. He created a laser weapon that could only fire projectiles if he correctly judged the math problem. The lab monsters are starting to stir! To prevent the monsters from running out, use the weapon. I need your help! Come on, turn your brain fast! Successful defeat of all of the monsters!",https://html5.gamemonetize.co/owxe44jv636qh4ah0w1mrnsedc74k169/,,0,1
3,Love Shopping Run,Love-Shopping-Run,"Come and join Love Shopping Run for a crazy shopping parkour adventure. You¡¯ll dash through bustling streets and exciting malls in this fast-paced arcade game. Keep running and collect money to buy beautiful clothes. Choose beautiful dresses, hair, and shoes to create an attractive image and you will have more followers.",https://html5.gamemonetize.co/0f8jl3z2d645u23b3ae08o137dfrf6ie/,,0,0
